夏色えがおで1,2,Jump！	LL01-064	0097	【ライブ中】この《ライブ》に参加している、ライブ衣装が「夏色えがおで1,2,Jump！」の名前が異なるメンバー３人につき、♪ライブP＋３♪する。	http://lovelive-sic.com/cardlist/cardimages/ll_01/ll_01_064_b.jpg	スマイル	0+X	2	2	2	－
もぎゅっと“love”で接近中！	LL01-065	0098	【ライブ参加時】この《ライブ》に参加する、ライブ衣装が「もぎゅっと“love”で接近中！」の名前が異なるメンバー１人につき、共通スコアが１減る。	http://lovelive-sic.com/cardlist/cardimages/ll_01/ll_01_065_b.jpg	オール	3	-	-	-	10
愛してるばんざーい！	LL01-066	0099	大好きだばんざーい！ 頑張れるから　昨日に手をふって　ほら前向いて	http://lovelive-sic.com/cardlist/cardimages/ll_01/ll_01_066_b.jpg	オール	4	-	-	-	11
それは僕たちの奇跡／だってだって噫無情	LL01-067	0100	ただの思い出　それだけじゃいやだよ 精一杯　力の限り走るんだ（Chance for me! Chance for you!）	http://lovelive-sic.com/cardlist/cardimages/ll_01/ll_01_067_b.jpg	クール	1	-	-	-	3
どんなときもずっと／COLORFUL VOICE	LL01-068	0101	嬉しいから　君に会いに行こう 寂しいから　君に会いに行こう（会いに行くよ）	http://lovelive-sic.com/cardlist/cardimages/ll_01/ll_01_068_b.jpg	ピュア	2	-	-	-	5
ススメ→トゥモロウ／START:DASH!!	LL01-069	0102	だって可能性感じたんだ　そうだ…ススメ！ 後悔したくない　目の前に僕らの道がある	http://lovelive-sic.com/cardlist/cardimages/ll_01/ll_01_069_b.jpg	スマイル	3	-	-	-	8
これからのSomeday／Wonder zone	LL01-070	0103	【ライブ成功時】もう１回ターンを行う。	http://lovelive-sic.com/cardlist/cardimages/ll_01/ll_01_070_b.jpg	ピュア	1	2	2	1	－
No brand girls／START:DASH!!	LL01-071	0104	【ライブ成功時】次のあなたのターンを１回休む。	http://lovelive-sic.com/cardlist/cardimages/ll_01/ll_01_071_b.jpg	クール	2	1	1	1	－
Angelic Angel／Hello,星を数えて	LL01-072	0105	【ライブ中】この《ライブ》に参加している全員が『１年生』で、名前が異なるメンバーが３人以上参加しているなら、♪ライブP＋１♪する。	http://lovelive-sic.com/cardlist/cardimages/ll_01/ll_01_072_b.jpg	ピュア	3+1	3	3	2	－
SUNNY DAY SONG／？←HEARTBEAT	LL01-073	0106	【ライブ中】この《ライブ》に参加している全員が『３年生』で、名前が異なるメンバーが３人以上参加しているなら、♪ライブP＋１♪する。	http://lovelive-sic.com/cardlist/cardimages/ll_01/ll_01_073_b.jpg	クール	3+1	2	3	3	－
